,username,comment
1884,tahu.bakso10,Apa kabar impor makanan anuuu aaah
1885,aastrittnur,Yang lokal lokal ajalaaaa
1886,____abellans,"THRIFTING BAJU BRANDED, HARGANYA JUGA TERJANGKAU KUALITAS OKE!!! KOK GA BOLEH KI PIYE🫠🫠🫠"
1887,hoodieku_1,Ayo pak @jokowi terus dukung produk dalam negri👏😍
1888,adi25146_,@adi25146_ pakaian mah ke selera msing2. Yg local ya local. Yg emng luar ya luar. Toh jual beli pakaian ga ada paksaan. Semua dari hati msing2 pembeli.
1889,nurulamf,Takutnya barang bekas orang meninggal😢
1890,hasbyakbaar,halah
1891,anr.agungg,@halooodan oke kaos partai
1892,_agungprst,"baik ,besok"" pake kaos merah gambar banteng"
1893,m_haykaalll,yang thrift thrift aja
1894,adi25146_,Korupsi jauh lbh merugikan sir
1895,rynsyh12,yang lokal2 aja
1896,ginorivaldo,Yg penting bagus buat lingkungan ☺️
1897,tlh_tdr,"Btw,impor beras di saat panen raya juga menggangu harga padi petani pak!"
1898,fadilahdicky95,betul pak
1899,fajaril._,PRODUK LOKAL BERSAING DENGAN BRAND LUAR NEGERI❌  PRODUK LOKAL BERSAING DENGAN THRIFT✔
1900,casualultrasid_,"Berantas makelar, ngejual barang bekas di luar nalar"
1901,_abayyaaa,Minimal kalo ngelarang harus ada solusi lahh den🙏🏻
1902,yunitasprawesti,"ga boleh jualan thrift, solusinya jadi pejabat aja trs korupsi"
1903,mhmddrckyy,"@vickyyahardiansyah drpd kaos partai mending, ngesortir pakkk"
1904,448mrgo,Wkwk produk lokal kalah sama barang bekas😐
1905,zaky_alamri,@kamay__ jelaskan ke dia may
1906,safana_tutupoho,@irfanarachman20 tidakkk🤭
1907,ervin_vtn,Bisnis impor tapi mematikan panen rakyat petani walaupun panen raya yg dilakukan para pejabat lebih mematikan berani tindak tegas tidak wahai paduka?
1908,cvau.e,thrifting brand indo kena ga pak?
1909,senjaadry,Baru mau mulai dagang thrifting
1910,aripengenhijrah,T-tapi pak brand lokal mengecewakan 😢
1911,joyyohanaa_,Tpi monja lebih bagus dri brand lokal pak ekekw
1912,briliannh._,😂
1913,dwiifzi,ngalihin isuu nihh
1914,monikalibriany,Hadehhh
1915,ffarhanero,🫡
1916,zendazm,Brand lokal mahal
1917,3xecutee,Perjuangan mencari pulau batu belum tercapai
1918,rflvrzn,beruang petir gratis ongkir bikin ketar ketir
1919,ristantyy_,saya dapet duit dari jual itu pak😭 untung gede
1920,ard_ansyaah,dagang baju pns?
1921,bubsnop,mon maap neh itu ga semua nya bekas y
1922,cvau.e,@kdedi.alf wkwkwk bener lg
1923,sleepcozyyy,Akumah biasa pake kaos power rangers
1924,laaruldn,Mengganggu bagaimana itu e
1925,kamujahat_sri,"Brand local kadang hoki""an, satu merk, jenis kaos yg sama, harga sama, cuma beda waktu beli udah beda kainya 😂"
1926,tomatooyyy,"mengganggu dr mananya ya?  ga semuanya harus lokal juga kan, lagian selagi harganya murah dja juga punya kualitas"
1927,sinch_an94,Yg lokal ga ada yg branded pak pres
1928,sukaaoatmeal,Tpi bgus buat bumi pak
1929,bubsnop,belum aja di geruduk warga senen😒
1930,madsgf18,kalo bisnis bekas pacar orang menganggu ga pak
1931,btlikmah_,Ala sia Boy
1932,poerno__,"Tapi iya dah anjirr,"
1933,btlikmah_,Kalo mau ngasi aturan yang bener dong pak😂
1934,valentsitumorangg,bapak ini local bgt kayanya
1935,irfanarachman20,@safana_tutupoho 😢
1936,hakkamil_,Lebih mengganggu industri kaweee
1937,myanwarii___,Repot pisan
1938,rmdnandy,produk lokal sama barang bekas kalo diliat dari harga sama kualitas sih menang bekas yaa
1939,_permana.gus,Pekerja impor juga pak biar afdol
1940,zinskndr14_,basmi aja pak
1941,exx_storee,😂😂. Btw 1k follower Ig no drop cuman 20k kaka
1942,al1eoo,@feebbb16 klo di bagiin bkl di pake kg om?
1943,btlikmah_,"Aduh si Bapak ni banyak aturan banget 😂kaya ngasi biaya hidup warganya aja ,yang penting ga korupsi pak lagian usaha pake uang kita sendiri ga pake uang negara 😂yang penting Bobo nyenyak halal pak"
1944,aripkhs,Sudah biasa pengalihan isu lah 🫢🤭
1945,schedulelimitasy,tetep lokal pride ketimbang kaos bekas
1946,rianhaaaaa_,"Yuk cintai produk lokal, contohnya aku aku aku"
1947,iyanrhmwann,teori kaos partai kah?
1948,ugang_kurniawan,semangat pakde
1949,tikaakuu_,@maulitayaa_ @dailymuthia misi kak mohon dibaca ya
1950,honeyyccomb,Haha bisnis impor sepatu bekas dari Singapore aja untungnya lumayan xdxd
1951,rynsyhmsri_,Huft!!!!! 🐒
1952,jasatitipsyifa,😮😮😮😮
1953,allthatnovember,APAKABAR CIMOL GEDEBAGE
1954,andidwian,@muhhidayatr sessajki😂
1955,umarobani,@derrynugraha20 yg penting kan industri pak presiden gak terganggu 🔥
1956,bintangdiwas,nyampe cgk dari luar negeri harus telanjang
1957,yogasmuhammadd,Belom pernah ngethrift 😢padahal pasar senen deket🙃sebelum dilarang nyobain dulu ah😂
1958,_liliescloud,mengganggu ape menganggu nih?
1959,billyachmadbilal,kumaha umak weh
1960,jeryyyyyyy___,@_zzhhuuu
1961,aang_path,Kaos Partai lebih OK
1962,bakdalohor,"kami mau ting ting, kami bosen lokaaaalllll!!!!"
1963,zeenity_,Kabeh2 wae dimuni mengganggu 😢
1964,luluatul_m13,Lokal murah and epikk
1965,eenwulandary,Dlu kuliah rasa nya boros beli baju baru untuk tukar tukar ke kampus baju sken solusinya 15 rb udah bagus banget
1966,fazriannn_,Mahal tai
1967,anassabd,🤣
1968,fajaril._,"Saya suka mix produk local sama thrift,tapi lokalnya yang murah² aja kaya kaos polos atau celana polos yang penting masih polosan, karna kalo beli dari brand lokal yang udh punya nama besar,harganya ga ngotak coy kadang² cuma modal tempel emblem atau logo produk tsb harganya bisa beberapa kali lipat,apalagi kadang cuttingannya ada yang ngaco😂"
1969,ieieaja,Impor barang kw dari china juga banyak 😆
1970,reychristianold,dri kmrn ributin ini mulu kaga cape apa
1971,wahied_76,"Saran buat partai, kalo bikin kaos harus  lokal brand minimal erigo atau rougheck"
1972,xdeathculture,"siapa disini yang mau beli brand2 fomo yang temanya antah berantah, kualitas b aja + overpriced? 😂😂"
1973,afanlist,@mohamadbs_ pin komen 😂
1974,ghannikemald,Kaos partai banteng udah tembus sampai thriftshop jepang kok
1975,rizkymlna.y,Siap2 gulung tikar
1976,herlmbgdkys,Terjangkau dan berkualitas😂
1977,robertusnapitupulu,Barang baju bekas yg ketangkap masih dalam bal balan tolong dimusnahkan jangan diam diam diperjual belikan lagi pak @listyosigitprabowo @bareskrim.polri @sahabat_umkm @kejaksaan.ri @kaesangp @smindrawati
1978,rhmt.fbrnsyh,🙏
1979,i_nsani_can,"Susah bersaing dengan harga yg dibandingin kualitas, ongkos + bahan pakaian masih mahal agak sulit untuk bersaing dengan pakaian trift. Terlebih konsumen nya sebagian besar dari kalangan milenial yg mau tetep keren tapi kantong pas pasan.. Solusinya pak de? 🙏🏻"
1980,t.i.y.a.n.g.a.l.i.t,𝘒𝘰𝘮𝘦𝘯𝘵𝘢𝘳 𝘪𝘯𝘪 𝘵𝘦𝘭𝘢𝘩 𝘥𝘪𝘩𝘢𝘱𝘶𝘴 𝘰𝘭𝘦𝘩 𝘋𝘪𝘷𝘪𝘴𝘪 𝘗𝘰𝘭𝘪𝘴𝘪 𝘊𝘺𝘣𝘦𝘳 𝘐𝘯𝘥𝘰𝘯𝘦𝘴𝘪𝘢 𝘬𝘢𝘳𝘦𝘯𝘢 𝘮𝘦𝘮𝘶𝘢𝘵 𝘶𝘫𝘢𝘳𝘢𝘯 𝘬𝘦𝘣𝘦𝘯𝘤𝘪𝘢𝘯 𝘥𝘢𝘯 𝘵𝘦𝘭𝘢𝘩 𝘮𝘦𝘭𝘢𝘯𝘨𝘨𝘢𝘳 𝘗𝘢𝘴𝘢𝘭 28 𝘢𝘺𝘢𝘵 (2) 𝘜𝘜 𝘐𝘛𝘌
1981,akhbarnasution,LOKAL LEBIH BAGUS YGY
1982,alfsptra19,"ya gimana ya pak, udh bagus murah lagi"
1983,bagus_jul7,"Sabar pakkk, rakyatmu ancen angel aturan e😢"
1984,juancarvallo_,@mipuzarco padahal ketong mo ba fix di live😔
1985,kholilmaoling,Hehehe. Harga bekas jualnya mahal
1986,tio_chamara12,@isidorusspulungg rungok no
1987,lsprhtn_,Yg lebih mengganggu pejabat korupsi si pak
1988,acltc_,@lmrkwf @wwnnddaa_ trancam kbrdaannya 🙃
1989,jez.sie_,@diadaracinta bertobat cin 🤣
1990,jrdaaan,Gajiku ga umr
1991,puguhardiyan,"Pemikiran orang kaya saya ""jika harga produk lokal setara dengan harga import original second ya mending beli yang import second original"""
1992,mipuzarco,@juancarvallo_ Ingfo rb
1993,masspeb_,"Emang bener pake kaos band, keren nya dapet sekaligus nge support band nya juga. Tapi  yg ORI loh ya 🔥"
1994,haardii17,"Intinya kudu kena pajak dulu biar legal, gitu aja repot"
1995,okky_satrio,wadidaw
1996,diadaracinta,@selvianirumapeaa @jez.sie_ 😢
1997,fyliap,Solusinya apa dong pak?
1998,taufikmaulanaaa,"HALLO GIMANA YANG BARANG KW/PALSU YANG SUDAH LAMA BEREDAR DIPASAR INDONESIA YANG BIKIN BANYAK USAHA LOKAL MERUGI EFEK PEMALSUAN BARANG PRODUK, HARUSNYA ITU YANG DITINDAK YANG SUDAH LAMA BEREDAR DI INDONESIA"
1999,nathanielad,Beli baju bekas lebih baik untuk lingkungan hidup
2000,alexsyahrulterrible,Pengen marah sama orang yang bilang brand lokal mahal😄
2001,acltc_,Aduh bhya cabo dng thrift ini 🙃 @lmrkwf @wwnnddaa_
2002,hadisraharjo,Pas love nya nyala jangan lupa di pencet juga ya guys
2003,tinarjohn,PAKAIAN BARU DALAM NEGRI 500 RIBU. PAKAI BEKAS RP 50.000
2004,zizitukangmakan,;(
2005,tinkermehl_,wahh
2006,andi.nata21,Makin kesini makin gajelas lau pak @jokowi
2007,sirifky_,Suka suka gue lah mau beli bekas atau baru
2008,iansatrio75,ANDAI KAMU TAUU ITU PENTING BAPAK
2009,muhammadiqbal76_,Wowkwokwowk
2010,muhammadiqbal76_,@a.alfrdzii yang penting mahal
2011,ysrrafa,gk ush ngomongin thrifting.. sikat aja dulu yg dr brand brand luar yg Gede gede tuh.. cut aja smua toh mereka jg bnyak ngambil bahan mentahan dr sini GOBS...!!! matiin aja dlu yg gede gedenya jngn kasi mentahan ksana olah smua di dalam negri.. support tuh pengusaha2nya. BRANI GK ? y kagak lah kan cuan banyak masuk Mereka #Chuaks
2012,kiflanfatth,"Mengapa syuliitt,untuk ku bisa miliki kaos dickies"
2013,eonsyee,"Punten pak tapi thrifting lebih menggoda, sensasinya itulo.. sungguh sangat bangga apabila kita mendapatkan barang bagus dengan penawaran anjlok banget.. 😂😂"
2014,arfanramadhani_,Kaos partai a pak
2015,aziz.gejo,MUNGKIN AJUAN DARI SI JAMET KAH ?😂
2016,choicedindaaa,thrifting menangid
2017,mogufron,"Ngasih larangan, tapi ga ngasih solusi?"
2018,tinarjohn,JANGAN SOMBONG MENTANG2 PEJABAT. JANGAN KENA AZAB SAMPAI ANAK DAN CUCU
2019,alviansyah87,@veniapputrii udah pernah belanja di @jakcloth ?
2020,aan_3131,mau brand lokal tapi kebanyakan malah harganya mahal dan kualitas yang didapat ga sebagus baju brand luar yg murah dapat kualitas bagus.
2021,dabelchizzbergerr,@itsmvvn kamis sesok piye?
2022,gamistore_gitd,Saya sih jual kaos baru bukan karena ga suka yg bekas..tp emang dari awal jualan kaos yg baru aja 😊🙏
2023,iqbalkahffi,@destiayudia_ produk lokal nya jadi kureng laku
2024,dewi_rositaad,Iyaa sihh kalo jadi umkm pasti tau bngt rasanya
2025,reihaans____,Mengapa demikian?
2026,zangad.santuy,"mau mengembalikan/meningkatkan kondisi dan angka perekonomian.. tp kok gini ??? rakyatmu belajar hidup sederhana dengan ini, meski sederhana atau barang murah sekalipun udah seneng.. ga kyk 300 T ga ada ujungnya buat apa"
2027,id.fauziadm,pa Jokowi pernah gagal ngethrift kek nya
2028,andeandicaprio,brand luar juga dong bapak banyak lho di mall
2029,aziz.gejo,MUNGKIN SANGAT MENGGANGGU PEMBISNIS LUAR DI INDONESIA KALI YA PAK ?😂
2030,tinarjohn,PAKAIAN BEKAS ITU LEBIH MURAH DARI PAKAIAN JADI DALAM NEGRI
2031,toni_zeaa,"Tenaga kerja import juga mengganggu ekonomi masyarakat kecil pak, gimana ?"
2032,itsmvvn,@dabelchizzbergerr kapan
2033,mhudaarz,Stelan kaos hitam celana pendek mana 🧤
2034,aldofahrezy20,Saya buka ballan thrif kebetulan bangat jackpot red Bull ada yg mau bayarin gak
2035,alanitarissaura,Kalo aku ga mau pakai baju bekas apalagi bekas orang yg ga ku kenal
2036,rizalsaefdn,nyari barang bekas : 🤮  ngethriff : 😎
2037,septianehardianto,Tumbaske workshirt hellcrust pak.  Apik pol sumpah.  Tulonglah pak pak.  Pak e :((((
2038,hilmaafina1732,Artinya apa bang Messi
2039,destiayudia_,@iqbalkahffi anying ngena bgt abis pamer lg
2040,kenalin_guerizky,Muke lu tuh yang mengganggu siswa lagi belajar 😴
2041,iqbalkahffi,@destiayudia_ noh gaboleh trif wkwkww
2042,sidikalamin,@sandyalw wkwk yukk bisa
2043,rifaldyf4,"@pamelaaaa24 halo kak, kebetulan saya kerja di bidang industri tekstil lokal. Bukan masalah beda barang nya kak, tapi minat beli masyarakat nya jadi cenderung beli yang bekas ori tapi murah. Alhasil produk lokal jadi minim yang beli, Impact nya bukan penjual lokal aja tapi industri tekstil lokal juga. Sepi orderan karena permintaan barang yang keluar sedikit, sedangkan produksi harus tetep berjalan akibat nya barang menumpuk digudang dan bahan baku habis dan akhirnya untuk beli bahan baku ga ada dan kalau pun beli ga langsung ada karena sebagian besar import dari LN. Jika masih sepi kemungkinan besar akan terjadi PHK Masal, rejeki memang ga akan ketuker tapi coba lihat dulu dampak kedepan nya seperti apa, apa tega mematikan industri lokal sehingga dampak nya banyak yang nganggur karena di PHK 🙌"
2044,vickyyahardiansyah,@mhmddrckyy ndak mampu beli baru soale😢
2045,muhammadirwan9167,SEKALI KALI EXPORT DONG JNGN IMPOR TRUS😭
2046,dianadaudd,🤣
2047,mrniel_caf,"Bukannya bagus ya pakai bahan bekas, membantu lingkungan, sehingga barang baru yang dibuat lebih berkurang (reduce, reuse, recycle)"
2048,putraabitama,sesuai selera masing masing 🙌
2049,y_dh4,Sepatu 50 rbu @jhopypandu19_
2050,nurasitah,"Nanti kebanyakan pakaian dibilang merusak lingkungan, limbah pakaian dll. Banyak juga orang yg bergantung dari bisnis pakaian ini 🥲"
2051,yourdailysins_,"KAOS OPERSESNYA GAES. GAMBAR BERUANG PETIR SILAHKAN. Operses operses tai , pas gue pake kaya croptop."
2052,in.duarr__,yaa gmna yaa barang lokal cenderung mahal pakk dan belum tentu bagus modelnya.. kalo thrift kan murah modelnya pun ga pasaran gtuloh
2053,biiiraa,tapi bisa aja pak impor dari luar negeri kita kenakan pajak
2054,rifkynazarm,cc @arsyadhi_
2055,aziz.gejo,"Seandainya harga produk lokal juga di kontrol oleh pihak pemerintah pasti bisa, karena pada dasar nya type pelaku usaha/SDM kita kalau brand nya sudah naik/terkenal walaupun ga terkenal2 amat, di kemudian hari dia menurunkan kelas kualitas & menstabilkan harga diri nya ( CARI UNTUNG GEDE BIAR CEPAT KAYA )."
2056,fiannsmd,jadi solusinya gimana ngab owi
2057,kingbosky_,Kumaha lamun eta baju urut jelma nu ges maot ti luar nagreg lurrr trs awak na panyakitan😂
2058,julian.sultann,PANAS KO SAMA THRIFTING😂🔥🔥🔥🔥
2059,diah.m_02,"thrift model nya lucu2, banyak rare item, murce lagii🤌🥰🥰"
2060,saifulmaghribii,Matiin rejeki orang
2061,ronihamdani221,Musuh terlihat
2062,em_bisyr,Klo Impor beras saat petani lokal panen raya gimna?
2063,yhns.diky,"Solusi nya:
Beli di serba 35"
2064,wpi.rh,Gmn brand lokal mau berkembang kalo tertarik y Ama barang murah bekasan.... Duh takut diserang kaum mendang mending tapi g mau coba😹😹😹😹😹😹😹😹😝
2065,keteudu,*seleb2 yang pake brand Prancis: kasian deh selalu kena aturan government :)
2066,rafbrar,"Cape2 komentar kasih aspirasi, yang baca juga admin folkative bukan pemerintah nya langsung"
2067,a.alfrdzii,@muhammadiqbal76_
2068,haikcool,solusinya beruang petir
2069,alfiand.dwi,🔥🔥🔥
2070,hendrobundera,PALING ENAK PAKAI KAOS ORMAS ..
2071,wiraashr,waduh apa benar begitu jo?
2072,afif_nurdin,"Ganggu??? Sudah dari dlu pakkkk ,makannya klo kualitas lokal mahhh jgn terlalu lokal bgt lahhh ,kualitas lokal yang pantas di pakai itu cuma Batik ,itu udh paling cakep dan pas di pake ,kalo yang lain pasti ada kekurangan nya yakin"
2073,wisse.inu,Berisik nih ngab owi
2074,pejerr,si paling impor
2075,iysssssssz,"Lokal mahal pak, thrift murah bahan berkualitas pak"
2076,dikdty_,Tenaga kerja impor jauh lebih menggangu pakde😌
2077,mchskti_,Asu
2078,_mars_sella,😂nanti kita pake bajunya seragaman ajah pak kalau gak batik pake baju item kek di korea utara🫠 eh apa mau pake warna merah seklian biar kek....
2079,enimoz,Ah..teringat rumus beliau
2080,reksypratamaa,ingin memajukan beruang petir akar khh???
2081,trisnapratamaa_,Bang Mohan tersenyum melihat ini
2082,mitramustakim,"@mitramustakim oiya, yg bikin hype brand luar (meskipun kW) para influencers juga."
2083,syarifalexanderhutagalung,Hutang luar negeri negara juga mengganggu anak cucu kita pak de
2084,ganjar_2024_,Klo beli produk EIGER itu brand lokal apa asing yaa ?
2085,patiteti,Pakaian bekas luar negeri bagus pak.. kualitas Luar biasa dengan harga yg murah.. Kalo produk dalam negeri ada yg biasa biasa saja tapi mahal nya luar biasa
2086,puja.kerangajaib1,@ciciration_ manut dalane
2087,grouperwhopper,"Udah paling bener pake baju partai, bentar lagi big sale 20.24"
2088,kiaroo28,Mungkin pak jokowi gatau rasanya dapet sepatu idaman branded dengan harga miring 🤣
2089,doddyfebri,@darmayudaginting @tegarpramdya ngak usah lagi bro ke panorama
2090,fareh_official,Butuhnya solusi pak biar ttep bisa beliin sarapan dan berbagi rokok
2091,mealsandtrashes,"harusnya si sesuai market aja gasii wkshshxgs, cuma terkadang olang olang berduwit pun ingin fesyenebel tetapi duwitnya tetap aman jd ikutan thrift thrift gini yg pdhl keuangan mereka cukup buat beli brand lokal (dan baru) atau sekalinya olang kaya belinya yaaa brand luar biar terlihat keyen :D"
2092,rhmdwhy___,@fahmi12xu
2093,zeeyadz,@zidnhrp 😂
2094,busyboyyy_,lol
2095,xwythwy,"Murah, bagus, dan jarang yg nyamain kalo dipake. Yagimana ya"
2096,restiadristi,tp tdk mengganggu dompetku paaa 😩
2097,febrykasnawan,KOCAK
2098,prclynaa_,Jgn dimahalin pakaiannya pak saya ingin 100rb dapat 3 🥲🙃
2099,muhfarhanth,"Yang punya brand lokal punya modal gede untuk alat konveksi dll, berbanding terbalik dengan pengais rezeki thrifting, kebanyakan dari kalangan menengah ke bawah yang mulai usaha kecil, ini jatohnya membuat yang kaya makin kaya yang miskin makin miskin, masyarakat Indonesia 200 juta lebih , sampe sekarang pun balance sebenernya , antara lokal dan import"
2100,ilhampdhlh,ogah pake baju beruang petir
2101,binahidayatt,"Merek lokal tambahin dong big size, modelnya keren"" tapi ngak muat wkwk"
2102,tyo_oyete,setuju. saya juga mendukung larangan pakaian bekas impor
2103,raflirachmad,"apa gak jijik ya beli baju bekas , minimal beli matahari di online kaos aja cm 40rban , kok sebegitu ngenesnya beli baju seken 😢"
2104,mbp_96,#localpride
2105,axl_zuno,Maca ci
2106,affectionpoc_,nt parah ini mah brader
2107,veronanngrh,"sudah banyak thrift shop, sisa kita saja pak atur pajak penghasilannya."
2108,mhdr4flyy,iya? ooo
2109,oline_016,Tukang ngowol nyimak
2110,dabelchizzbergerr,@itsmvvn ayo ngethrift
2111,sandyalw,@sidikalamin
2112,feebbb16,Bagikan kaos partai 🔥
2113,elangakbarr,solusinya apa
2114,___.dropbyriezka.___,Biasa di gw kaos partai klo ga di jadiin lap ya buat outfit para petani ke kebun
2115,alfathharyaa,hadeh
2116,melani.griffithh,Bukan gasuka produk lokal tapi gamau aja nanti di ujung jalan bejejer orang2 yang pake baju samaan semua 😂
2117,farahrzkii,bacot la virus virus modal daia sm proclin juge plankton terhempaskan
2118,_adamoctaa,Artinya apa bang messi
2119,tessatissu,Dari jaman nyokap muda juga udh ada pak
2120,ciadreason,emang bener
2121,pemain_handalll,Yang sangat mengganggu itu kereta cepat yang belom selesai sampai sekarang !
2122,hmwnprd_,"Aku tak akan mau dewasa, bila dewasa sepertimu aku tak mau."
2123,saint.benedictus,End of 😢
2124,galih.sakti_,@ajie_gozsa impor opo ae Jane mengganggu bisnis dalam negeri
2125,ditactors,Tapi consumen barang thrifting juga membantu mengurangi limbah industri tekstil. Semacam reuse dan recycle gitu gak sih..
2126,anggisetyawann,"Bilangnya harus lokal, tp kualitas bagus dikit harganya selangit. 🔥🔥"
2127,woibj_,"Pakaian bekas ga menggangu pak, yg mnggnggu tuh koruptor !!!"
2128,angga.subi,"@angga.subi also kok cuma impor pakaian bekas yang dihentikan, kok bukan yang ....... (sebagian teks hilang)"
2129,yansah_zx,Artinya apa bang messi
2130,junkistruee,Ngomong ape si wkwksksk
2131,bakaljajan,Yang mengganggu saya adalah temen temen saya mendadak branded pak
2132,wcksono23,"Kalo bisa dicari jalan keluarnya bersama pak jangan cuma main asal tutup aja, mereka dagang thrift gitu ga baru sehari duahari tapi udah lama dan nyata nya baru kali ini aja disenggol."
2133,syauqi.mub,Artinya apa bang owi
2134,desidmynty,but i love thriftt pak🥴
2135,dimass295_,@jaakiiiii._ dunia trift di persulit
2136,satyaadisw_,#lokaltakgentar
2137,rriansyahh_,@rezadiskyy info tipusat langsung
2138,adam_ardiansyah1990,Yang penting mah murah udah itu aja.
2139,ramawwida,"@galangbramana sepertinya tidak barang bekas saja, contoh pulau batu yg tidak ada official store di indo tp kok banyak bnwt yg bertebaran 🫣"
2140,ajifajriii,cepe tiga
2141,palkavnd,mau beli brand lokal tapi harga nya kaya inter :(
2142,veronanngrh,@nabafiishafar iya bang retailer makin banyak yg buka
2143,_imyour__hi,"Itu kan pilihan mereka yg badan kecil sama ekonomi biasa mending beli itu pak, udh lah gak usah urusin rakyat kecil koruptot aja babat abis"
2144,nextajr,Waduh😂
2145,angga.subi,okay it's good when it's last
2146,rosid.mn,@iarx.are mbak @ahmad18faiz kemaren beli duaa🙌
2147,disannugraha,Hahaha rongsok rongsok
2148,reiagra,Jadikan saya tombol dislike
2149,mitramustakim,"Ya gimana ngga rame, wong panutan influencernya kebanyakan ngiklanin brand luar. Menkraf & menko seharusnya lbh bisa menggenjot minat konsumeris lokal lewat campaign influencer. Masa bayar buzzerRp bisa, bayar influence brand lokal ga bisa. Terbalik-balik si kadang"
2150,liwaasdelfiera,Impor bahan pokok juga pak
2151,ibnslby,@sugenggsecrt haha apasi😭
2152,rachmanfahlefi,"Setujuuu pak, tanah abang jadi kalah saing sama threfting, masa baju baru di tawar nya 15 skrng di tanah abang🥲"
2153,erynugrahaa,@guruolahraga_
2154,agustanuwijaya21,"𝚁𝚞𝚖𝚊𝚑 𝚟𝚒𝚛𝚊𝚕 𝚍𝚒 𝚝𝚒𝚔𝚝𝚘𝚔🔥
BISA NEGO &  BISA DIKPR 
GADE JUGA BISA
dISCLAIMER : Dijual Sebelum Gempa ya dan foto itu terbaru setelah gempa
Spesifikasi :
Rumah 2 lantai
LT 210 meter 
LB 2lantai Full bangunan
SHM
Lantai 1 :
- KT 3 (KT utama luas+WC)
- Kamar mandi
- Dapur Kitchen Set+meja bar
- Tempat Kulkas cukup 2kulkas
- ruang nonton tv
- ruang tamu
- garasi (masuk buat 2mobil 1 garasi belakang 1 garasi depan)
- kolam ikan
- kolam renang full dengan mesin
- lantai full granit atas bawah
- kusen full alumunium 
- dua wajah depan
- gudang 1
- pagar tangga full stainless+kaca
- Listrik 4.400 Watt
Lantai 2
- mushola
- ruang nonton
- gudang 2
- dua balkon (yang satu view gunung)
- KT 2
- tempat cuci 
- kusen jendela full alumunium
TANPA PERANTARA
Kontak Person 087773935517 ( Wa Only ) 
𝙻𝚘𝚔𝚊𝚜𝚒 𝙲𝚒𝚊𝚗𝚓𝚞𝚛 
1,7 M ( NEGO SAMPAI JADI DITEMPAT) 
FURNITURE YG NEMPEL & MOTOR GA DIBAWA𝚁𝚞𝚖𝚊𝚑 𝚟𝚒𝚛𝚊𝚕 𝚍𝚒 𝚝𝚒𝚔𝚝𝚘𝚔🔥
BISA NEGO &  BISA DIKPR 
GADE JUGA BISA
dISCLAIMER : Dijual Sebelum Gempa ya dan foto itu terbaru setelah gempa
Spesifikasi :
Rumah 2 lantai
LT 210 meter 
LB 2lantai Full bangunan
SHM
Lantai 1 :
- KT 3 (KT utama luas+WC)
- Kamar mandi
- Dapur Kitchen Set+meja bar
- Tempat Kulkas cukup 2kulkas
- ruang nonton tv
- ruang tamu
- garasi (masuk buat 2mobil 1 garasi belakang 1 garasi depan)
- kolam ikan
- kolam renang full dengan mesin
- lantai full granit atas bawah
- kusen full alumunium 
- dua wajah depan
- gudang 1
- pagar tangga full stainless+kaca
- Listrik 4.400 Watt
Lantai 2
- mushola
- ruang nonton
- gudang 2
- dua balkon (yang satu view gunung)
- KT 2
- tempat cuci 
- kusen jendela full alumunium
TANPA PERANTARA
Kontak Person 087773935517 ( Wa Only ) 
𝙻𝚘𝚔𝚊𝚜𝚒 𝙲𝚒𝚊𝚗𝚓𝚞𝚛 
1,7 M ( NEGO SAMPAI JADI DITEMPAT) 
FURNITURE YG NEMPEL & MOTOR GA DIBAWA"
2155,hamzhrfkiii,lu siapa ngatur?
2156,lembu_inst,Alumni poncol .. nih baju udah mandi belum le 😂😂
2157,unbirajaf,"Sekarang brand lokal tapi harga luar, ra sido support 😢"
2158,mameeet_____,"Kalo ngomong brand luar kualitas diatas brand lokal, ada benernya ada engga nya. Karena ga sedikit brand luar yang produksinya di indonesia juga. Menangnya brand besar di luar bisacustom material kain, karena produksi di garment besar contohnya seperti kahatex. Dan untuk brand luar yang belom gede ya produksinya sama aja dari material dan konstruksi jahitan nya sama dengan brand indo, karena saya juga mengerjakan beberapa brand luar."
2159,skyy_grls,"Tapi jujur,kita tuh harus bngt mencintai produk lokal, soalnya harum indo tuh udah mau pudar di indonya sendiri"
2160,aaasfjkl,@don_godon
2161,fannierubyjane,Mangkanya pejabat lain kali kalo kampanye baju partai ny dior minimal hnm lah👎
2162,iidollll,hmm
2163,ilhamwije,Terus solusinya apa pak
2164,addkrnwnnn,"brand lokal bagus kok, beruang petir contohnya"
2165,_bobhrsn,Klo impor yg lain gmna ?ganggu ga kira² 😁
2166,_.nadyarizki,solusi nya pake kaos partai berarti y?🤨
2167,iarx.are,@mustofa.nr11 @abror.almufa @ahmad18faiz @rosid.mn @alfansyukron_ @faqi.achmad @diwaahaikal
2168,times.no.romance,Tapi tapi tapikan. Aaaaaaa
2169,iniaqiilahsndi,kebatam deh pak cobaa wkkwkw
2170,yufendiasri,"Sebenarnya yg di katakan presiden ada betul nya, tapi mereka yg jualan juga kagak salah, soal nya itu sumber penghasilan bagi mereka"
2171,nikenayunr,Ojo ngejak i thrift e we @cici_apriliaaaa
2172,alamdullam,KAMI JUGA SANGAT TERGANGGU DENGAN PEJABAT YANG SUKA ERUPSI PAK. NGAKUNYA KHILAF😂
2173,athriftments,apakabar barang KW ??
