,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
664,rindu_ootd,"Padahal pasarnya thrift udah banyak dari kapan tahun pak, kenapa baru mau sekarang sih di cekal dan di larang😢😢😢.",Padahal pasarnya thrift udah banyak dari kapan tahun pak  kenapa baru mau sekarang sih di cekal dan di larang,padahal pasarnya thrift udah banyak dari kapan tahun pak  kenapa baru mau sekarang sih di cekal dan di larang,"['padahal', 'pasarnya', 'thrift', 'udah', 'banyak', 'dari', 'kapan', 'tahun', 'pak', 'kenapa', 'baru', 'mau', 'sekarang', 'sih', 'di', 'cekal', 'dan', 'di', 'larang']",pasarnya thrift udah cekal larang,pasarnya thrift sudah cekal larang,pasar thrift sudah cekal larang
665,lickies.shoes,matinyaaa kitaakkkk,matinyaa kitaakk,matinyaa kitaakk,"['matinyaa', 'kitaakk']",matinyaa kitaakk,matinyaa kitaakk,matinyaa kitaakk
666,awang_saesang,Tapi bisnis itu yg bisa menopang kehidupan menyambung biaya hidup orang2 yg tidak mempunyai penghasilan tetap pak.... 😢😢😢,Tapi bisnis itu yg bisa menopang kehidupan menyambung biaya hidup orang yg tidak mempunyai penghasilan tetap pak,tapi bisnis itu yg bisa menopang kehidupan menyambung biaya hidup orang yg tidak mempunyai penghasilan tetap pak,"['tapi', 'bisnis', 'itu', 'yg', 'bisa', 'menopang', 'kehidupan', 'menyambung', 'biaya', 'hidup', 'orang', 'yg', 'tidak', 'mempunyai', 'penghasilan', 'tetap', 'pak']",bisnis menopang kehidupan menyambung biaya hidup orang penghasilan,bisnis menopang kehidupan menyambung biaya hidup orang penghasilan,bisnis topang hidup sambung biaya hidup orang hasil
667,wiradimadja,"PAJAKIN PAK, apa yang lagi trending cuan pajakin lah... 👏",PAJAKIN PAK  apa yang lagi trending cuan pajakin lah,pajakin pak  apa yang lagi trending cuan pajakin lah,"['pajakin', 'pak', 'apa', 'yang', 'lagi', 'trending', 'cuan', 'pajakin', 'lah']",pajakin trending cuan pajakin,pajakin trending cuan pajakin,pajakin trending cuan pajakin
668,yfmsh_,siapp pake kaos beruangg petirr😍😍,siapp pake kaos beruangg petirr,siapp pake kaos beruangg petirr,"['siapp', 'pake', 'kaos', 'beruangg', 'petirr']",siapp pake kaos beruangg petirr,siapp pakai kaos beruangg petirr,siapp pakai kaos beruangg petirr
669,oursell.id,"Kasian kalo @oursell.id ga jualan pak wkwkw, skinkerku ga ditanggung negara soalnya😩😭🥺",Kasian kalo  id ga jualan pak wkwkw  skinkerku ga ditanggung negara soalnya,kasian kalo  id ga jualan pak wkwkw  skinkerku ga ditanggung negara soalnya,"['kasian', 'kalo', 'id', 'ga', 'jualan', 'pak', 'wkwkw', 'skinkerku', 'ga', 'ditanggung', 'negara', 'soalnya']",kasian id jualan wkwkw skinkerku ditanggung negara,kasihan id jualan wkwkw skinkerku ditanggung negara,kasihan id jual wkwkw skinkerku tanggung negara
670,tehryooo,Tingkatkan kualitas barang lokal jangan cuma bilang stop beli thrift luar,Tingkatkan kualitas barang lokal jangan cuma bilang stop beli thrift luar,tingkatkan kualitas barang lokal jangan cuma bilang stop beli thrift luar,"['tingkatkan', 'kualitas', 'barang', 'lokal', 'jangan', 'cuma', 'bilang', 'stop', 'beli', 'thrift', 'luar']",tingkatkan kualitas barang lokal stop beli thrift,tingkatkan kualitas barang lokal stop beli thrift,tingkat kualitas barang lokal stop beli thrift
671,tehryooo,Harganya mahal cuk Pakai lokal kui opo maneh bahan e terlalu letoy gampang suek yen thirf(brand luar) bahan e apik harga lebih murah,Harganya mahal cuk Pakai lokal kui opo maneh bahan terlalu letoy gampang suek yen thirf brand luar  bahan apik harga lebih murah,harganya mahal cuk pakai lokal kui opo maneh bahan terlalu letoy gampang suek yen thirf brand luar  bahan apik harga lebih murah,"['harganya', 'mahal', 'cuk', 'pakai', 'lokal', 'kui', 'opo', 'maneh', 'bahan', 'terlalu', 'letoy', 'gampang', 'suek', 'yen', 'thirf', 'brand', 'luar', 'bahan', 'apik', 'harga', 'lebih', 'murah']",harganya mahal cuk pakai lokal kui opo maneh bahan letoy gampang suek yen thirf brand bahan apik harga murah,harganya mahal cuk pakai lokal kui apa lagi bahan letoy gampang suek yen thirf brand bahan apik harga murah,harga mahal cuk pakai lokal kui apa lagi bahan letoy gampang suek yen thirf brand bahan apik harga murah
672,septyrd,hehe bilang aja mau dikenain pajak,hehe bilang aja mau dikenain pajak,hehe bilang aja mau dikenain pajak,"['hehe', 'bilang', 'aja', 'mau', 'dikenain', 'pajak']",dikenain pajak,dikenain pajak,dikenain pajak
674,_ttsputm,sekarang mah lebih proud pake local brand.,sekarang mah lebih proud pake local brand,sekarang mah lebih proud pake local brand,"['sekarang', 'mah', 'lebih', 'proud', 'pake', 'local', 'brand']",mah proud pake local brand,mah proud pakai lokal brand,mah proud pakai lokal brand
675,gubrack,"Saingan dengan pakaian bekas aja mengeluh... Sekali lagi, cuma pakaian bekas!",Saingan dengan pakaian bekas aja mengeluh  Sekali lagi  cuma pakaian bekas,saingan dengan pakaian bekas aja mengeluh  sekali lagi  cuma pakaian bekas,"['saingan', 'dengan', 'pakaian', 'bekas', 'aja', 'mengeluh', 'sekali', 'lagi', 'cuma', 'pakaian', 'bekas']",saingan pakaian bekas mengeluh pakaian bekas,saingan pakaian bekas mengeluh pakaian bekas,saing pakai bekas keluh pakai bekas
677,nineteen.market,Untung udah pindah negara 🙌,Untung udah pindah negara,untung udah pindah negara,"['untung', 'udah', 'pindah', 'negara']",untung udah pindah negara,untung sudah pindah negara,untung sudah pindah negara
678,draggonboll,Info kaos partai,Info kaos partai,info kaos partai,"['info', 'kaos', 'partai']",info kaos partai,informasi kaos partai,informasi kaos partai
679,nanangsand_,Pdhal yg lebih mengganggu para pejabat² yg korup ehh,Pdhal yg lebih mengganggu para pejabat² yg korup ehh,pdhal yg lebih mengganggu para pejabat² yg korup ehh,"['pdhal', 'yg', 'lebih', 'mengganggu', 'para', 'pejabat²', 'yg', 'korup', 'ehh']",pdhal mengganggu pejabat² korup ehh,padahal mengganggu pejabat² korup ehh,padahal ganggu jabat korup ehh
680,m.yu_suff,Pemuja brand,Pemuja brand,pemuja brand,"['pemuja', 'brand']",pemuja brand,pemuja brand,puja brand
681,rivaldo_1599,Kalau ramai ntr dilanjut part 2nya,Kalau ramai ntr dilanjut part nya,kalau ramai ntr dilanjut part nya,"['kalau', 'ramai', 'ntr', 'dilanjut', 'part', 'nya']",ramai ntr dilanjut part,ramai nanti dilanjut part,ramai nanti lanjut part
682,pemudatersesatfans,"Iya pa, nanti pakai baju partai kebanggaan bapa",Iya pa  nanti pakai baju partai kebanggaan bapa,iya pa  nanti pakai baju partai kebanggaan bapa,"['iya', 'pa', 'nanti', 'pakai', 'baju', 'partai', 'kebanggaan', 'bapa']",iya pa pakai baju partai kebanggaan bapa,iya pa pakai baju partai kebanggaan bapa,iya pa pakai baju partai bangga bapa
683,raaafli.s,Bikin Brand lokal bekas si,Bikin Brand lokal bekas si,bikin brand lokal bekas si,"['bikin', 'brand', 'lokal', 'bekas', 'si']",brand lokal bekas,brand lokal bekas,brand lokal bekas
684,rrtspt,"lagi rame, gimana obos thrift tanggapannya? @lesmana3527",lagi rame  gimana obos thrift tanggapannya,lagi rame  gimana obos thrift tanggapannya,"['lagi', 'rame', 'gimana', 'obos', 'thrift', 'tanggapannya']",rame gimana obos thrift tanggapannya,ramai bagaimana obos thrift tanggapannya,ramai bagaimana obos thrift tanggap
685,aldi__fauzan,Minimal punten2 ke b*a c*kai biar ga ganggu,Minimal punten ke  kai biar ga ganggu,minimal punten ke  kai biar ga ganggu,"['minimal', 'punten', 'ke', 'kai', 'biar', 'ga', 'ganggu']",minimal punten kai ganggu,minimal maaf kai ganggu,minimal maaf kai ganggu
686,ichiba_,Lucunya wakanda..,Lucunya wakanda,lucunya wakanda,"['lucunya', 'wakanda']",lucunya wakanda,lucunya wakanda,lucu wakanda
687,growiebol,WOILAHHH,WOILAHH,woilahh,['woilahh'],woilahh,woilahh,woilahh
688,nrllissa._,@egolgole gimana nihhh,gimana nihh,gimana nihh,"['gimana', 'nihh']",gimana nihh,bagaimana nihh,bagaimana nihh
689,_bunsinansopo,mksdnya apa ya bang messi?,mksdnya apa ya bang messi,mksdnya apa ya bang messi,"['mksdnya', 'apa', 'ya', 'bang', 'messi']",mksdnya bang messi,maksudnya bang messi,maksud bang messi
690,ipinn_2,ujung ujungnyage lo minta pajak kalo mau jualan trift🤪🤪,ujung ujungnyage lo minta pajak kalo mau jualan trift,ujung ujungnyage lo minta pajak kalo mau jualan trift,"['ujung', 'ujungnyage', 'lo', 'minta', 'pajak', 'kalo', 'mau', 'jualan', 'trift']",ujung ujungnyage lo pajak jualan trift,ujung ujungnyage kamu pajak jualan trift,ujung ujungnyage kamu pajak jual trift
691,jewluxx.id,Klo thrift gmn ??,Klo thrift gmn,klo thrift gmn,"['klo', 'thrift', 'gmn']",thrift gmn,thrift bagaimana,thrift bagaimana
692,raulrmdhnnn,kan ga semua orang pake baju bekas,kan ga semua orang pake baju bekas,kan ga semua orang pake baju bekas,"['kan', 'ga', 'semua', 'orang', 'pake', 'baju', 'bekas']",orang pake baju bekas,orang pakai baju bekas,orang pakai baju bekas
693,cariajalagi_,"Kalo tidak bisa kasih SOLUSI jangan MELARANG, kalo tidak bisa MEMBANTU jangan MENYUSAHKAN",Kalo tidak bisa kasih SOLUSI jangan MELARANG  kalo tidak bisa MEMBANTU jangan MENYUSAHKAN,kalo tidak bisa kasih solusi jangan melarang  kalo tidak bisa membantu jangan menyusahkan,"['kalo', 'tidak', 'bisa', 'kasih', 'solusi', 'jangan', 'melarang', 'kalo', 'tidak', 'bisa', 'membantu', 'jangan', 'menyusahkan']",kasih solusi melarang membantu menyusahkan,kasih solusi melarang membantu menyusahkan,kasih solusi larang bantu susah
694,speniawan,Kapan surat vaksin di stop?,Kapan surat vaksin di stop,kapan surat vaksin di stop,"['kapan', 'surat', 'vaksin', 'di', 'stop']",surat vaksin stop,surat vaksin stop,surat vaksin stop
695,goodtweede,"Follow aja akun aku goodtweede 😂, banyak barang enak ✌🏻",Follow aja akun aku goodtweede  banyak barang enak,follow aja akun aku goodtweede  banyak barang enak,"['follow', 'aja', 'akun', 'aku', 'goodtweede', 'banyak', 'barang', 'enak']",follow akun goodtweede barang enak,follow akun goodtweede barang enak,follow akun goodtweede barang enak
696,fujiuji08,Apa kabar pasar cimol gede bage yaakssss @riskaktksr 😂,Apa kabar pasar cimol gede bage yaakss,apa kabar pasar cimol gede bage yaakss,"['apa', 'kabar', 'pasar', 'cimol', 'gede', 'bage', 'yaakss']",kabar pasar cimol gede bage yaakss,kabar pasar cimol besar bage yaakss,kabar pasar cimol besar bage yaakss
697,yuvi_oh,"Sama dong hal nya impor mobil dari luar, mengganggu industri mobil dalam negeri (ASEMKA)",Sama dong hal nya impor mobil dari luar  mengganggu industri mobil dalam negeri  ASEMKA,sama dong hal nya impor mobil dari luar  mengganggu industri mobil dalam negeri  asemka,"['sama', 'dong', 'hal', 'nya', 'impor', 'mobil', 'dari', 'luar', 'mengganggu', 'industri', 'mobil', 'dalam', 'negeri', 'asemka']",impor mobil mengganggu industri mobil negeri asemka,impor mobil mengganggu industri mobil negeri asemka,impor mobil ganggu industri mobil negeri asemka
698,_muhzakiiii,yoo ndak tauu,yoo ndak tauu,yoo ndak tauu,"['yoo', 'ndak', 'tauu']",yoo ndak tauu,yoo tidak tauu,yoo tidak tauu
699,ariinaeka,Suka barang thrifting apa lagi crewneck soalnya luculucu,Suka barang thrifting apa lagi crewneck soalnya luculucu,suka barang thrifting apa lagi crewneck soalnya luculucu,"['suka', 'barang', 'thrifting', 'apa', 'lagi', 'crewneck', 'soalnya', 'luculucu']",suka barang thrifting crewneck luculucu,suka barang thrifting crewneck luculucu,suka barang thrifting crewneck luculucu
703,reitta_one,Koruptor mengganggu keuangan dalam negeri 🔥🔥🔥,Koruptor mengganggu keuangan dalam negeri,koruptor mengganggu keuangan dalam negeri,"['koruptor', 'mengganggu', 'keuangan', 'dalam', 'negeri']",koruptor mengganggu keuangan negeri,koruptor mengganggu keuangan negeri,koruptor ganggu uang negeri
704,sts_rani,Pabrikku produksi daster lokal bagus 🙌❤️ eh pabrik bos aku 😂,Pabrikku produksi daster lokal bagus  eh pabrik bos aku,pabrikku produksi daster lokal bagus  eh pabrik bos aku,"['pabrikku', 'produksi', 'daster', 'lokal', 'bagus', 'eh', 'pabrik', 'bos', 'aku']",pabrikku produksi daster lokal bagus eh pabrik bos,pabrikku produksi daster lokal bagus eh pabrik bos,pabrik produksi daster lokal bagus eh pabrik bos
705,sundanesemerch.id,"nge thrift 50k dapet bahan bagus,,lokal brand 50k udah kaya kaos partai sekali cuci sablon nya berubah aneh🤣",nge thrift dapet bahan bagus  lokal brand udah kaya kaos partai sekali cuci sablon nya berubah aneh,nge thrift dapet bahan bagus  lokal brand udah kaya kaos partai sekali cuci sablon nya berubah aneh,"['nge', 'thrift', 'dapet', 'bahan', 'bagus', 'lokal', 'brand', 'udah', 'kaya', 'kaos', 'partai', 'sekali', 'cuci', 'sablon', 'nya', 'berubah', 'aneh']",nge thrift dapet bahan bagus lokal brand udah kaya kaos partai cuci sablon berubah aneh,nge thrift dapet bahan bagus lokal brand sudah kaya kaos partai cuci sablon berubah aneh,nge thrift dapet bahan bagus lokal brand sudah kaya kaos partai cuci sablon ubah aneh
706,mu.bachtiar,WoW,WoW,wow,['wow'],wow,wow,wow
707,sepatuvermaxbandung,Bukan akun thrifting yg harus ditutup pak presiden.. tutuplah akun2 penjual barang2 murah dari china semua di e-commerce yg ada disini!! SIMPLE BERES!! Itu permasalahan utama UMKM disini tidak akan berkembang.. karena kalah bersaing.🔥🔥🔥,Bukan akun thrifting yg harus ditutup pak presiden  tutuplah akun penjual barang murah dari china semua di  commerce yg ada disini  SIMPLE BERES  Itu permasalahan utama UMKM disini tidak akan berkembang  karena kalah bersaing,bukan akun thrifting yg harus ditutup pak presiden  tutuplah akun penjual barang murah dari china semua di  commerce yg ada disini  simple beres  itu permasalahan utama umkm disini tidak akan berkembang  karena kalah bersaing,"['bukan', 'akun', 'thrifting', 'yg', 'harus', 'ditutup', 'pak', 'presiden', 'tutuplah', 'akun', 'penjual', 'barang', 'murah', 'dari', 'china', 'semua', 'di', 'commerce', 'yg', 'ada', 'disini', 'simple', 'beres', 'itu', 'permasalahan', 'utama', 'umkm', 'disini', 'tidak', 'akan', 'berkembang', 'karena', 'kalah', 'bersaing']",akun thrifting ditutup presiden tutuplah akun penjual barang murah china commerce simple beres permasalahan utama umkm berkembang kalah bersaing,akun thrifting ditutup presiden tutuplah akun penjual barang murah china commerce simpel beres permasalahan utama umkm berkembang kalah bersaing,akun thrifting tutup presiden tutup akun jual barang murah china commerce simpel beres masalah utama umkm kembang kalah saing
708,ahsanul415,Sistem kredit yg merugikan itu,Sistem kredit yg merugikan itu,sistem kredit yg merugikan itu,"['sistem', 'kredit', 'yg', 'merugikan', 'itu']",sistem kredit merugikan,sistem kredit merugikan,sistem kredit rugi
710,union_ninja_independent,Outfit outfit blegedesss,Outfit outfit blegedess,outfit outfit blegedess,"['outfit', 'outfit', 'blegedess']",outfit outfit blegedess,outfit outfit blegedess,outfit outfit blegedess
711,iuhgley,Hadeh,Hadeh,hadeh,['hadeh'],hadeh,hadeh,hadeh
712,fachrul.ramdhnn,Otw kaos beruang petir😂,Otw kaos beruang petir,otw kaos beruang petir,"['otw', 'kaos', 'beruang', 'petir']",otw kaos beruang petir,lagi di jalan kaos beruang petir,lagi di jalan kaos beruang petir
713,deheyaaa15,Ari import beras emg teu ngaganggu petani lokal kitu pak.. coba urusin yg receh2 dulu,Ari import beras emg teu ngaganggu petani lokal kitu pak  coba urusin yg receh dulu,ari import beras emg teu ngaganggu petani lokal kitu pak  coba urusin yg receh dulu,"['ari', 'import', 'beras', 'emg', 'teu', 'ngaganggu', 'petani', 'lokal', 'kitu', 'pak', 'coba', 'urusin', 'yg', 'receh', 'dulu']",ari import beras emg teu ngaganggu petani lokal kitu coba urusin receh,ari import beras emang tidak ngaganggu petani lokal kitu coba urusin receh,ari import beras emang tidak ngaganggu tani lokal kitu coba urusin receh
714,wijayaandrikaa,"Dari duluuuuu, baru nyadarnya sekarang.",Dari duluu  baru nyadarnya sekarang,dari duluu  baru nyadarnya sekarang,"['dari', 'duluu', 'baru', 'nyadarnya', 'sekarang']",duluu nyadarnya,duluu nyadarnya,duluu nyadarnya
716,xyns.ari,"Pak tolong kami rakyat kecil,jangan persulit kami menjemput  rezeki 😢",Pak tolong kami rakyat kecil jangan persulit kami menjemput rezeki,pak tolong kami rakyat kecil jangan persulit kami menjemput rezeki,"['pak', 'tolong', 'kami', 'rakyat', 'kecil', 'jangan', 'persulit', 'kami', 'menjemput', 'rezeki']",tolong rakyat persulit menjemput rezeki,tolong rakyat persulit menjemput rezeki,tolong rakyat sulit jemput rezeki
717,niizaaaaaa_,@njwpshh ottokee,ottokee,ottokee,['ottokee'],ottokee,ottokee,ottokee
718,txyhhh_,Solusi nya gimnaaa ? 😢,Solusi nya gimnaa,solusi nya gimnaa,"['solusi', 'nya', 'gimnaa']",solusi gimnaa,solusi gimnaa,solusi gimnaa
719,lianitavan_y,Naikkan kesejahteraan rakyat biar bisa beli baju lokal 300k. Thrifting di pasar udah dapat 10 baju itu,Naikkan kesejahteraan rakyat biar bisa beli baju lokal  Thrifting di pasar udah dapat baju itu,naikkan kesejahteraan rakyat biar bisa beli baju lokal  thrifting di pasar udah dapat baju itu,"['naikkan', 'kesejahteraan', 'rakyat', 'biar', 'bisa', 'beli', 'baju', 'lokal', 'thrifting', 'di', 'pasar', 'udah', 'dapat', 'baju', 'itu']",naikkan kesejahteraan rakyat beli baju lokal thrifting pasar udah baju,naikkan kesejahteraan rakyat beli baju lokal thrifting pasar sudah baju,naik sejahtera rakyat beli baju lokal thrifting pasar sudah baju
720,ztzkab,"Gimana kabarnya impor beras, dll?",Gimana kabarnya impor beras  dll,gimana kabarnya impor beras  dll,"['gimana', 'kabarnya', 'impor', 'beras', 'dll']",gimana kabarnya impor beras dll,bagaimana kabarnya impor beras dan lain-lain,bagaimana kabar impor beras dan lain
721,griffann.n,"terus upaya pemerintah dalam mengurangi limbah pakaian ini dikemanain yaa, gak semua industri dan masyarakat mau mendaur ulangg🤔",terus upaya pemerintah dalam mengurangi limbah pakaian ini dikemanain yaa  gak semua industri dan masyarakat mau mendaur ulangg,terus upaya pemerintah dalam mengurangi limbah pakaian ini dikemanain yaa  gak semua industri dan masyarakat mau mendaur ulangg,"['terus', 'upaya', 'pemerintah', 'dalam', 'mengurangi', 'limbah', 'pakaian', 'ini', 'dikemanain', 'yaa', 'gak', 'semua', 'industri', 'dan', 'masyarakat', 'mau', 'mendaur', 'ulangg']",upaya pemerintah mengurangi limbah pakaian dikemanain yaa industri masyarakat mendaur ulangg,upaya pemerintah mengurangi limbah pakaian dikemanain yaa industri masyarakat mendaur ulangg,upaya perintah kurang limbah pakai dikemanain yaa industri masyarakat daur ulangg
722,nawaidi78,Stop impor beras 🤣🤣,Stop impor beras,stop impor beras,"['stop', 'impor', 'beras']",stop impor beras,stop impor beras,stop impor beras
723,ochid1974,"Buah, sayur , beras , kedelai bahkan  garam impor juga menggangu petani lokal pak,...",Buah  sayur  beras  kedelai bahkan garam impor juga menggangu petani lokal pak,buah  sayur  beras  kedelai bahkan garam impor juga menggangu petani lokal pak,"['buah', 'sayur', 'beras', 'kedelai', 'bahkan', 'garam', 'impor', 'juga', 'menggangu', 'petani', 'lokal', 'pak']",buah sayur beras kedelai garam impor menggangu petani lokal,buah sayur beras kedelai garam impor menggangu petani lokal,buah sayur beras kedelai garam impor menggangu tani lokal
